Shelf	size_g	sugar_g	fat_g	sodium_mg
1	28	10	0	170
1	28	2	0	270
1	28	2	0	300
1	32	2	2	280
1	30	13	1	210
1	31	11	0	180
1	27	12	1.5	200
1	27	9	2.5	200
1	29	11	0.5	220
1	33	2	0	330
2	30	9	1.5	190
2	27	15	0.5	50
2	32	15	1	150
2	27	9	2.5	200
2	30	11	1	230
2	30	16	0.5	105
2	30	13	1	170
2	33	10	1.5	150
2	29	13	1	160
2	27	11	2.5	150
3	54	17	1	280
3	30	6	1.5	190
3	31	2	0	290
3	31	14	0	120
3	54	14	5	160
3	49	0	0.5	0
3	55	14	3	320
3	30	12	1	180
3	59	20	1	300
3	50	1	1	0
4	55	19	1	240
4	60	6	0	300
4	55	19	2	220
4	31	5	0.5	220
4	30	12	1	180
4	31	6	1	65
4	55	14	3	100
4	55	19	2	260
4	55	17	3	280
4	30	3	0	200
